iso,name,hash
AT,Neu-Guntramsdorf,AT-Neu-Guntramsdorf
AT,Kleinarl,AT-Kleinarl
AT,Edelstauden,AT-Edelstauden
AT,Neuhaus am Klausenbach,AT-Neuhaus am Klausenbach
AT,Millstatt,AT-Millstatt
AT,Zwölfaxing,AT-Zwölfaxing
AT,Zwettl Stift,AT-Zwettl Stift
AT,Zwettl Stadt,AT-Zwettl Stadt
AT,Zwettl an der Rodl,AT-Zwettl an der Rodl
AT,Zurndorf,AT-Zurndorf
AT,Zöblen,AT-Zöblen
AT,Zöbern,AT-Zöbern
AT,Zistersdorf,AT-Zistersdorf
AT,Zirl,AT-Zirl
AT,Zillingtal,AT-Zillingtal
AT,Zillingdorf,AT-Zillingdorf
AT,Ziersdorf,AT-Ziersdorf
AT,Zeutschach,AT-Zeutschach
AT,Zettling,AT-Zettling
AT,Zerlach,AT-Zerlach
AT,Zeltweg,AT-Zeltweg
AT,Zellerndorf,AT-Zellerndorf
AT,Zellberg,AT-Zellberg
AT,Zell an der Pram,AT-Zell an der Pram
AT,Zell am Ziller,AT-Zell am Ziller
AT,Zell am See,AT-Zell am See
AT,Zell am Pettenfirst,AT-Zell am Pettenfirst
AT,Zell am Moos,AT-Zell am Moos
AT,Zeillern,AT-Zeillern
AT,Zederhaus,AT-Zederhaus
AT,Zams,AT-Zams
AT,Zagersdorf,AT-Zagersdorf
AT,Ybbsitz,AT-Ybbsitz
AT,Ybbs an der Donau,AT-Ybbs an der Donau
AT,Würmla,AT-Würmla
AT,Würflach,AT-Würflach
AT,Wundschuh,AT-Wundschuh
AT,Wullersdorf,AT-Wullersdorf
AT,Wulkaprodersdorf,AT-Wulkaprodersdorf
AT,Wörth an der Lafnitz,AT-Wörth an der Lafnitz
AT,Wörterberg,AT-Wörterberg
AT,Wörschach,AT-Wörschach
AT,Wörgl,AT-Wörgl
AT,Wördern,AT-Wördern
AT,Wolkersdorf im Weinviertel,AT-Wolkersdorf im Weinviertel
AT,Wolfurt,AT-Wolfurt
AT,Wolfsthal,AT-Wolfsthal
AT,Wolfsgraben,AT-Wolfsgraben
AT,Wolfsegg am Hausruck,AT-Wolfsegg am Hausruck
AT,Wolfsberg im Schwarzautal,AT-Wolfsberg im Schwarzautal
AT,Wolfsberg,AT-Wolfsberg
AT,Wolfsbach,AT-Wolfsbach
AT,Wolfpassing,AT-Wolfpassing
AT,Wolfau,AT-Wolfau
AT,Winklern bei Oberwölz,AT-Winklern bei Oberwölz
AT,Winklern,AT-Winklern
AT,Winklarn,AT-Winklarn
AT,Windigsteig,AT-Windigsteig
AT,Winden am See,AT-Winden am See
AT,Wimpassing an der Leitha,AT-Wimpassing an der Leitha
AT,Wimpassing im Schwarzatale,AT-Wimpassing im Schwarzatale
AT,Willendorf am Steinfelde,AT-Willendorf am Steinfelde
AT,Wilhelmsburg,AT-Wilhelmsburg
AT,Wilfersdorf,AT-Wilfersdorf
AT,Wildon,AT-Wildon
AT,Wildermieming,AT-Wildermieming
AT,Wildalpen,AT-Wildalpen
AT,Wiesmath,AT-Wiesmath
AT,Wiesing,AT-Wiesing
AT,Wiesfleck,AT-Wiesfleck
AT,Wiesen,AT-Wiesen
AT,Wieselburg,AT-Wieselburg
AT,Wies,AT-Wies
AT,Wiener Neustadt,AT-Wiener Neustadt
AT,Wiener Neudorf,AT-Wiener Neudorf
AT,Vienna,AT-Vienna
AT,Weyregg,AT-Weyregg
AT,Weyer,AT-Weyer
AT,Wetzelsdorf,AT-Wetzelsdorf
AT,Wettmannstätten,AT-Wettmannstätten
AT,Westendorf,AT-Westendorf
AT,Wernersdorf,AT-Wernersdorf
AT,Werndorf,AT-Werndorf
AT,Wernberg,AT-Wernberg
AT,Werfenweng,AT-Werfenweng
AT,Werfen,AT-Werfen
AT,Weppersdorf,AT-Weppersdorf
AT,Wenns,AT-Wenns
AT,Weng im Innkreis,AT-Weng im Innkreis
AT,Wels,AT-Wels
AT,Weiz,AT-Weiz
AT,Weitra,AT-Weitra
AT,Weitersfelden,AT-Weitersfelden
AT,Weitersfeld,AT-Weitersfeld
AT,Weitensfeld,AT-Weitensfeld
AT,Weiten,AT-Weiten
AT,Weistrach,AT-Weistrach
AT,Weißkirchen in Steiermark,AT-Weißkirchen in Steiermark
AT,Weißenkirchen in der Wachau,AT-Weißenkirchen in der Wachau
AT,Weißenbach bei Liezen,AT-Weißenbach bei Liezen
AT,Weissenbach an der Triesting,AT-Weissenbach an der Triesting
AT,Weinzierl bei Krems,AT-Weinzierl bei Krems
AT,Weinzierl am Walde,AT-Weinzierl am Walde
AT,Weingraben,AT-Weingraben
AT,Weinburg am Saßbach,AT-Weinburg am Saßbach
AT,Weinburg,AT-Weinburg
AT,Weiler,AT-Weiler
AT,Weikersdorf am Steinfelde,AT-Weikersdorf am Steinfelde
AT,Weikendorf,AT-Weikendorf
AT,Weiden bei Rechnitz,AT-Weiden bei Rechnitz
AT,Weiden am See,AT-Weiden am See
AT,Weichselbaum,AT-Weichselbaum
AT,Weibern,AT-Weibern
AT,Weer,AT-Weer
AT,Wattens,AT-Wattens
AT,Wattenberg,AT-Wattenberg
AT,Wartmannstetten,AT-Wartmannstetten
AT,Warth,AT-Warth
AT,Warth,AT-Warth
AT,Wartberg,AT-Wartberg
AT,Wängle,AT-Wängle
AT,Wang,AT-Wang
AT,Walpersbach,AT-Walpersbach
AT,Wallern im Burgenland,AT-Wallern im Burgenland
AT,Waldzell,AT-Waldzell
AT,Waldneukirchen,AT-Waldneukirchen
AT,Waldkirchen an der Thaya,AT-Waldkirchen an der Thaya
AT,Waldkirchen am Wesen,AT-Waldkirchen am Wesen
AT,Walding,AT-Walding
AT,Wald im Pinzgau,AT-Wald im Pinzgau
AT,Waldhausen,AT-Waldhausen
AT,Waldenstein,AT-Waldenstein
AT,Waldegg,AT-Waldegg
AT,Wald am Schoberpaß,AT-Wald am Schoberpaß
AT,Walchsee,AT-Walchsee
AT,Waizenkirchen,AT-Waizenkirchen
AT,Waidring,AT-Waidring
AT,Waidmannsfeld,AT-Waidmannsfeld
AT,Waidhofen an der Ybbs,AT-Waidhofen an der Ybbs
AT,Waidhofen an der Thaya,AT-Waidhofen an der Thaya
AT,Wagrain,AT-Wagrain
AT,Wagna,AT-Wagna
AT,Vösendorf,AT-Vösendorf
AT,Murau,AT-Murau
AT,Vordernberg,AT-Vordernberg
AT,Vorderhornbach,AT-Vorderhornbach
AT,Vorchdorf,AT-Vorchdorf
AT,Vorau,AT-Vorau
AT,Vomp,AT-Vomp
AT,Völs,AT-Völs
AT,Völkermarkt,AT-Völkermarkt
AT,Volders,AT-Volders
AT,Voitsberg,AT-Voitsberg
AT,Vöcklamarkt,AT-Vöcklamarkt
AT,Vöcklabruck,AT-Vöcklabruck
AT,Vitis,AT-Vitis
AT,Virgen,AT-Virgen
AT,Vils,AT-Vils
AT,Villach,AT-Villach
AT,Viktorsberg,AT-Viktorsberg
AT,Viehhofen,AT-Viehhofen
AT,Velden am Wörthersee,AT-Velden am Wörthersee
AT,Veitsch,AT-Veitsch
AT,Utzenaich,AT-Utzenaich
AT,Uttendorf,AT-Uttendorf
AT,Unterwart,AT-Unterwart
AT,Untertauern,AT-Untertauern
AT,Unterstinkenbrunn,AT-Unterstinkenbrunn
AT,Untersiebenbrunn,AT-Untersiebenbrunn
AT,Rohrbach an der Gölsen,AT-Rohrbach an der Gölsen
AT,Unterpremstätten,AT-Unterpremstätten
AT,Unterperfuss,AT-Unterperfuss
AT,Unterlamm,AT-Unterlamm
AT,Unterkohlstätten,AT-Unterkohlstätten
AT,Grünburg,AT-Grünburg
AT,Unterfrauenhaid,AT-Unterfrauenhaid
AT,Unterfladnitz,AT-Unterfladnitz
AT,Unterbergla,AT-Unterbergla
AT,Unterauersbach,AT-Unterauersbach
AT,Unken,AT-Unken
AT,Ungerdorf,AT-Ungerdorf
AT,Ungenach,AT-Ungenach
AT,Umhausen,AT-Umhausen
AT,Ulrichsberg,AT-Ulrichsberg
AT,Uderns,AT-Uderns
AT,Übersbach,AT-Übersbach
AT,Übersaxen,AT-Übersaxen
AT,Übelbach,AT-Übelbach
AT,Tweng,AT-Tweng
AT,Türnitz,AT-Türnitz
AT,Turnau,AT-Turnau
AT,Tulln,AT-Tulln
AT,Tulfes,AT-Tulfes
AT,Tulbing,AT-Tulbing
AT,Tschanigraben,AT-Tschanigraben
AT,Tschagguns,AT-Tschagguns
AT,Trumau,AT-Trumau
AT,Trössing,AT-Trössing
AT,Trofaiach,AT-Trofaiach
AT,Tristach,AT-Tristach
AT,Trins,AT-Trins
AT,Triebendorf,AT-Triebendorf
AT,Trieben,AT-Trieben
AT,Treglwang,AT-Treglwang
AT,Trebesing,AT-Trebesing
AT,Trautmannsdorf in Oststeiermark,AT-Trautmannsdorf in Oststeiermark
AT,Trautmannsdorf an der Leitha,AT-Trautmannsdorf an der Leitha
AT,Trausdorf an der Wulka,AT-Trausdorf an der Wulka
AT,Traunstein,AT-Traunstein
AT,Traun,AT-Traun
AT,Trattenbach,AT-Trattenbach
AT,Traismauer,AT-Traismauer
AT,Traiskirchen,AT-Traiskirchen
AT,Traisen,AT-Traisen
AT,Trahütten,AT-Trahütten
AT,Traboch,AT-Traboch
AT,Tobaj,AT-Tobaj
AT,Tobadill,AT-Tobadill
AT,Timelkam,AT-Timelkam
AT,Tieschen,AT-Tieschen
AT,Tiefgraben,AT-Tiefgraben
AT,Thüringen,AT-Thüringen
AT,Thörl,AT-Thörl
AT,Thomatal,AT-Thomatal
AT,Thomasberg,AT-Thomasberg
AT,Theresienfeld,AT-Theresienfeld
AT,Thaya,AT-Thaya
AT,Thaur,AT-Thaur
AT,Thalheim bei Wels,AT-Thalheim bei Wels
AT,Thalgau,AT-Thalgau
AT,Teufenbach,AT-Teufenbach
AT,Ternitz,AT-Ternitz
AT,Ternberg,AT-Ternberg
AT,Terfens,AT-Terfens
AT,Telfs,AT-Telfs
AT,Telfes im Stubai,AT-Telfes im Stubai
AT,Teesdorf,AT-Teesdorf
AT,Taxenbach,AT-Taxenbach
AT,Tauplitz,AT-Tauplitz
AT,Taufkirchen an der Trattnach,AT-Taufkirchen an der Trattnach
AT,Tattendorf,AT-Tattendorf
AT,Tarrenz,AT-Tarrenz
AT,Tannheim,AT-Tannheim
AT,Tamsweg,AT-Tamsweg
AT,Taiskirchen im Innkreis,AT-Taiskirchen im Innkreis
AT,Tadten,AT-Tadten
AT,Sulzberg,AT-Sulzberg
AT,Sulz,AT-Sulz
AT,Sulztal an der Weinstraße,AT-Sulztal an der Weinstraße
AT,Stummerberg,AT-Stummerberg
AT,Stumm,AT-Stumm
AT,Stuhlfelden,AT-Stuhlfelden
AT,Studenzen,AT-Studenzen
AT,Stubenberg,AT-Stubenberg
AT,Stronsdorf,AT-Stronsdorf
AT,Strobl,AT-Strobl
AT,Strengen,AT-Strengen
AT,Strengberg,AT-Strengberg
AT,Strem,AT-Strem
AT,Stratzing,AT-Stratzing
AT,Strasswalchen,AT-Strasswalchen
AT,Straß in Steiermark,AT-Straß in Steiermark
