iso,name,hash
AT,Burgenland,AT-Burgenland
AT,Steiermark,AT-Steiermark
AT,Tirol,AT-Tirol
AT,Niederösterreich,AT-Niederösterreich
AT,Vorarlberg,AT-Vorarlberg
AT,Oberösterreich,AT-Oberösterreich
AT,Salzburg,AT-Salzburg
AT,Kärnten,AT-Kärnten
AT,Salzburg,AT-Salzburg
AT,Wien,AT-Wien
BE,HainAT,BE-HainAT
BE,Limburg,BE-Limburg
BE,Namur,BE-Namur
BE,Antwerp,BE-Antwerp
BE,Brussels,BE-Brussels
BE,Walloon Brabant,BE-Walloon Brabant
BE,Liege,BE-Liege
BE,Flemish Brabant,BE-Flemish Brabant
BE,East Flanders,BE-East Flanders
BE,West Flanders,BE-West Flanders
BE,Luxembourg,BE-Luxembourg
BG,Grad Sofiya,BG-Grad Sofiya
BG,Montana,BG-Montana
BG,Kyustendil,BG-Kyustendil
BG,Burgas,BG-Burgas
BG,Varna,BG-Varna
BG,Ruse,BG-Ruse
BG,Haskovo,BG-Haskovo
BG,Stara Zagora,BG-Stara Zagora
BG,Plovdiv,BG-Plovdiv
BG,Sofia,BG-Sofia
BG,Veliko Tarnovo,BG-Veliko Tarnovo
BG,Vratsa,BG-Vratsa
BG,Targovishte,BG-Targovishte
BG,Pleven,BG-Pleven
BG,Vidin,BG-Vidin
BG,Pazardzhik,BG-Pazardzhik
BG,Smolyan,BG-Smolyan
BG,Yambol,BG-Yambol
BG,Sliven,BG-Sliven
BG,Razgrad,BG-Razgrad
BG,Kardzhali,BG-Kardzhali
BG,Gabrovo,BG-Gabrovo
BG,Lovech,BG-Lovech
BG,Shumen,BG-Shumen
BG,Dobrich,BG-Dobrich
BG,Silistra,BG-Silistra
BG,Pernik,BG-Pernik
BG,Blagoevgrad,BG-Blagoevgrad
HR,Karlovacka,HR-Karlovacka
HR,Licko-Senjska,HR-Licko-Senjska
HR,Sisacko-Moslavacka,HR-Sisacko-Moslavacka
HR,Viroviticko-Podravska,HR-Viroviticko-Podravska
HR,Zagrebacka,HR-Zagrebacka
HR,Osjecko-Baranjska,HR-Osjecko-Baranjska
HR,Bjelovarska-Bilogorska,HR-Bjelovarska-Bilogorska
HR,Varaždinska,HR-Varaždinska
HR,Grad Zagreb,HR-Grad Zagreb
HR,Vukovarsko-Srijemska,HR-Vukovarsko-Srijemska
HR,Šibensko-Kninska,HR-Šibensko-Kninska
HR,Krapinsko-Zagorska,HR-Krapinsko-Zagorska
HR,Istarska,HR-Istarska
HR,Brodsko-Posavska,HR-Brodsko-Posavska
HR,Brodsko-Posavska,HR-Brodsko-Posavska
HR,Koprivnicko-Križevacka,HR-Koprivnicko-Križevacka
HR,Zadarska,HR-Zadarska
HR,Dubrovacko-Neretvanska,HR-Dubrovacko-Neretvanska
HR,Medimurska,HR-Medimurska
HR,Splitsko-Dalmatinska,HR-Splitsko-Dalmatinska
HR,Primorsko-Goranska,HR-Primorsko-Goranska
HR,Primorsko-Goranska,HR-Primorsko-Goranska
HR,Grad Zagreb,HR-Grad Zagreb
CY,Famagusta,CY-Famagusta
CY,Paphos,CY-Paphos
CY,Limassol,CY-Limassol
CY,Larnaca,CY-Larnaca
CY,Nicosia,CY-Nicosia
CZ,Karlovarský,CZ-Karlovarský
CZ,Liberecký,CZ-Liberecký
CZ,Královéhradecký,CZ-Královéhradecký
CZ,Moravskoslezský,CZ-Moravskoslezský
CZ,Prague,CZ-Prague
CZ,Jihoceský,CZ-Jihoceský
CZ,Kraj Vysocina,CZ-Kraj Vysocina
CZ,Stredoceský,CZ-Stredoceský
DK,Eysturoyar,DK-Eysturoyar
DK,Hovedstaden,DK-Hovedstaden
